"Union Membership, Coverage, Density and Employment by State and Sector","Union Membership, Coverage, Density and Employment by State and Sector","Union Membership, Coverage, Density and Employment by State and Sector","Union Membership, Coverage, Density and Employment by State and Sector","Union Membership, Coverage, Density and Employment by State and Sector","Union Membership, Coverage, Density and Employment by State and Sector","Union Membership, Coverage, Density and Employment by State and Sector","Union Membership, Coverage, Density and Employment by State and Sector","Union Membership, Coverage, Density and Employment by State and Sector","Union Membership, Coverage, Density and Employment by State and Sector"
1988,Washington,91,Priv. Construction,95,"85,152","23,217","25,779",27.30%,30.30%
1988,Washington,91,Priv. Manufacturing,366,"335,935","117,304","134,645",34.90%,40.10%
1988,Washington,91,Private,1635,"1,496,002","283,992","329,088",19.00%,22.00%
1988,Washington,91,Public,428,"388,091","172,917","209,213",44.60%,53.90%
1988,Washington,91,Total,2063,"1,884,093","456,909","538,301",24.30%,28.60%
1989,Washington,91,Priv. Construction,90,"82,726","19,191","21,500",23.20%,26.00%
1989,Washington,91,Priv. Manufacturing,392,"362,994","124,157","138,252",34.20%,38.10%
1989,Washington,91,Private,1706,"1,569,441","278,777","320,254",17.80%,20.40%
1989,Washington,91,Public,425,"385,977","171,949","198,315",44.50%,51.40%
1989,Washington,91,Total,2131,"1,955,418","450,726","518,568",23.10%,26.50%
1990,Washington,91,Priv. Construction,122,"112,054","26,913","26,913",24.00%,24.00%
1990,Washington,91,Priv. Manufacturing,398,"365,795","111,937","126,233",30.60%,34.50%
1990,Washington,91,Private,1850,"1,695,529","285,195","321,491",16.80%,19.00%
1990,Washington,91,Public,423,"381,019","184,459","213,449",48.40%,56.00%
1990,Washington,91,Total,2273,"2,076,548","469,653","534,940",22.60%,25.80%
1991,Washington,91,Priv. Construction,109,"102,486","26,236","29,427",25.60%,28.70%
1991,Washington,91,Priv. Manufacturing,358,"348,470","102,444","115,436",29.40%,33.10%
1991,Washington,91,Private,1696,"1,652,516","274,212","306,459",16.60%,18.50%
1991,Washington,91,Public,458,"440,228","202,989","231,544",46.10%,52.60%
1991,Washington,91,Total,2154,"2,092,744","477,201","538,003",22.80%,25.70%
1992,Washington,91,Priv. Construction,93,"100,248","27,071","28,032",27.00%,28.00%
1992,Washington,91,Priv. Manufacturing,333,"350,947","90,887","97,971",25.90%,27.90%
1992,Washington,91,Private,1583,"1,686,094","264,781","286,394",15.70%,17.00%
1992,Washington,91,Public,409,"428,047","227,917","253,102",53.20%,59.10%
1992,Washington,91,Total,1992,"2,114,142","492,698","539,496",23.30%,25.50%
1993,Washington,91,Priv. Construction,79,"90,727","24,725","28,239",27.30%,31.10%
1993,Washington,91,Priv. Manufacturing,266,"299,092","88,752","98,845",29.70%,33.00%
1993,Washington,91,Private,1466,"1,669,835","287,718","312,086",17.20%,18.70%
1993,Washington,91,Public,418,"465,473","220,517","245,814",47.40%,52.80%
1993,Washington,91,Total,1884,"2,135,307","508,235","557,899",23.80%,26.10%
1994,Washington,91,Priv. Construction,92,"109,169","24,300","24,300",22.30%,22.30%
1994,Washington,91,Priv. Manufacturing,265,"304,603","94,268","112,145",30.90%,36.80%
1994,Washington,91,Private,1519,"1,768,852","284,607","324,383",16.10%,18.30%
1994,Washington,91,Public,384,"444,294","202,309","236,124",45.50%,53.10%
1994,Washington,91,Total,1903,"2,213,146","486,915","560,507",22.00%,25.30%
1995,Washington,91,Priv. Construction,83,"99,522","33,092","35,342",33.30%,35.50%
1995,Washington,91,Priv. Manufacturing,299,"351,933","103,042","105,353",29.30%,29.90%
1995,Washington,91,Private,1592,"1,899,482","306,689","323,184",16.10%,17.00%
1995,Washington,91,Public,333,"371,849","170,447","185,749",45.80%,50.00%
1995,Washington,91,Total,1925,"2,271,332","477,136","508,933",21.00%,22.40%
1996,Washington,91,Priv. Construction,99,"115,754","32,685","34,909",28.20%,30.20%
1996,Washington,91,Priv. Manufacturing,296,"349,209","101,306","114,222",29.00%,32.70%
1996,Washington,91,Private,1622,"1,937,886","278,965","306,156",14.40%,15.80%
1996,Washington,91,Public,336,"404,196","185,235","205,097",45.80%,50.70%
1996,Washington,91,Total,1958,"2,342,082","464,201","511,253",19.80%,21.80%
1997,Washington,91,Priv. Construction,131,"155,905","40,473","42,543",26.00%,27.30%
1997,Washington,91,Priv. Manufacturing,339,"408,885","106,870","114,778",26.10%,28.10%
1997,Washington,91,Private,1726,"2,062,154","298,998","331,297",14.50%,16.10%
1997,Washington,91,Public,357,"420,371","209,201","232,139",49.80%,55.20%
1997,Washington,91,Total,2083,"2,482,525","508,200","563,436",20.50%,22.70%
1998,Washington,91,Priv. Construction,123,"145,286","39,680","40,861",27.30%,28.10%
1998,Washington,91,Priv. Manufacturing,370,"435,975","111,643","123,503",25.60%,28.30%
1998,Washington,91,Private,1778,"2,095,521","331,845","355,668",15.80%,17.00%
1998,Washington,91,Public,376,"441,506","205,418","229,086",46.50%,51.90%
1998,Washington,91,Total,2154,"2,537,027","537,263","584,753",21.20%,23.00%
1999,Washington,91,Priv. Construction,128,"157,362","43,314","43,314",27.50%,27.50%
1999,Washington,91,Priv. Manufacturing,322,"378,186","94,493","104,395",25.00%,27.60%
1999,Washington,91,Private,1773,"2,130,576","314,659","355,281",14.80%,16.70%
1999,Washington,91,Public,383,"454,088","220,151","254,265",48.50%,56.00%
1999,Washington,91,Total,2156,"2,584,664","534,811","609,546",20.70%,23.60%
2000,Washington,91,Priv. Construction,141,"176,005","33,581","34,630",19.10%,19.70%
2000,Washington,91,Priv. Manufacturing,266,"324,332","74,612","79,534",23.00%,24.50%
2000,Washington,91,Private,1734,"2,135,351","251,031","273,048",11.80%,12.80%
2000,Washington,91,Public,378,"457,435","219,817","243,098",48.10%,53.10%
2000,Washington,91,Total,2112,"2,592,786","470,848","516,146",18.20%,19.90%
2001,Washington,91,Priv. Construction,146,"139,440","36,030","36,030",25.80%,25.80%
2001,Washington,91,Priv. Manufacturing,317,"309,580","88,754","89,520",28.70%,28.90%
2001,Washington,91,Private,2118,"2,081,859","283,682","298,606",13.60%,14.30%
2001,Washington,91,Public,422,"396,153","176,633","197,941",44.60%,50.00%
2001,Washington,91,Total,2540,"2,478,012","460,316","496,548",18.60%,20.00%
2002,Washington,91,Priv. Construction,154,"124,906","32,148","33,062",25.70%,26.50%
2002,Washington,91,Priv. Manufacturing,412,"326,515","80,803","83,267",24.70%,25.50%
2002,Washington,91,Private,2647,"2,098,838","286,378","301,976",13.60%,14.40%
2002,Washington,91,Public,554,"432,024","185,400","206,974",42.90%,47.90%
2002,Washington,91,Total,3201,"2,530,861","471,778","508,950",18.60%,20.10%
2003,Washington,91,Priv. Construction,151,"125,488","25,394","26,041",20.20%,20.80%
2003,Washington,91,Priv. Manufacturing,387,"314,422","57,294","59,296",18.20%,18.90%
2003,Washington,91,Private,2543,"2,071,470","271,820","284,340",13.10%,13.70%
2003,Washington,91,Public,607,"468,018","229,724","246,321",49.10%,52.60%
2003,Washington,91,Total,3150,"2,539,487","501,545","530,661",19.70%,20.90%
2004,Washington,91,Priv. Construction,173,"149,660","36,837","36,837",24.60%,24.60%
2004,Washington,91,Priv. Manufacturing,388,"334,894","55,515","56,311",16.60%,16.80%
2004,Washington,91,Private,2582,"2,170,291","287,525","297,906",13.20%,13.70%
2004,Washington,91,Public,585,"474,421","222,226","237,789",46.80%,50.10%
2004,Washington,91,Total,3167,"2,644,712","509,751","535,695",19.30%,20.30%
2005,Washington,91,Priv. Construction,173,"153,525","30,686","30,686",20.00%,20.00%
2005,Washington,91,Priv. Manufacturing,359,"314,182","55,709","56,403",17.70%,18.00%
2005,Washington,91,Private,2565,"2,223,578","254,336","269,610",11.40%,12.10%
2005,Washington,91,Public,624,"522,884","268,969","289,306",51.40%,55.30%
2005,Washington,91,Total,3189,"2,746,462","523,305","558,916",19.10%,20.40%
2006,Washington,91,Priv. Construction,178,"165,368","42,219","42,219",25.50%,25.50%
2006,Washington,91,Priv. Manufacturing,383,"341,028","69,361","71,063",20.30%,20.80%
2006,Washington,91,Private,2560,"2,310,657","288,926","304,913",12.50%,13.20%
2006,Washington,91,Public,524,"461,070","259,583","277,731",56.30%,60.20%
2006,Washington,91,Total,3084,"2,771,727","548,509","582,644",19.80%,21.00%
2007,Washington,91,Priv. Construction,214,"196,679","50,304","51,262",25.60%,26.10%
2007,Washington,91,Priv. Manufacturing,403,"364,205","97,101","101,894",26.70%,28.00%
2007,Washington,91,Private,2623,"2,372,044","310,089","330,985",13.10%,14.00%
2007,Washington,91,Public,568,"502,023","269,208","284,982",53.60%,56.80%
2007,Washington,91,Total,3191,"2,874,067","579,297","615,967",20.20%,21.40%
2008,Washington,91,Priv. Construction,221,"210,857","57,398","59,034",27.20%,28.00%
2008,Washington,91,Priv. Manufacturing,400,"373,455","90,539","92,727",24.20%,24.80%
2008,Washington,91,Private,2548,"2,390,864","311,655","334,746",13.00%,14.00%
2008,Washington,91,Public,565,"521,570","266,225","291,604",51.00%,55.90%
2008,Washington,91,Total,3113,"2,912,434","577,880","626,350",19.80%,21.50%
2009,Washington,91,Priv. Construction,168,"162,900","40,951","40,951",25.10%,25.10%
2009,Washington,91,Priv. Manufacturing,341,"321,315","80,403","84,390",25.00%,26.30%
2009,Washington,91,Private,2470,"2,313,247","292,525","303,553",12.60%,13.10%
2009,Washington,91,Public,575,"533,864","281,544","308,584",52.70%,57.80%
2009,Washington,91,Total,3045,"2,847,111","574,069","612,137",20.20%,21.50%
2010,Washington,91,Priv. Construction,146,"146,753","23,259","23,259",15.80%,15.80%
2010,Washington,91,Priv. Manufacturing,304,"299,838","66,018","70,559",22.00%,23.50%
2010,Washington,91,Private,2344,"2,301,512","247,323","277,144",10.70%,12.00%
2010,Washington,91,Public,552,"535,691","304,444","328,093",56.80%,61.20%
2010,Washington,91,Total,2896,"2,837,203","551,767","605,237",19.40%,21.30%
2011,Washington,91,Priv. Construction,125,"122,249","34,035","36,225",27.80%,29.60%
2011,Washington,91,Priv. Manufacturing,321,"309,785","66,228","68,909",21.40%,22.20%
2011,Washington,91,Private,2276,"2,209,929","245,326","264,051",11.10%,11.90%
2011,Washington,91,Public,551,"519,110","271,778","293,166",52.40%,56.50%
2011,Washington,91,Total,2827,"2,729,039","517,104","557,216",18.90%,20.40%
2012,Washington,91,Priv. Construction,114,"114,950","22,790","23,822",19.80%,20.70%
2012,Washington,91,Priv. Manufacturing,379,"367,169","85,401","89,659",23.30%,24.40%
2012,Washington,91,Private,2310,"2,265,510","251,249","267,101",11.10%,11.80%
2012,Washington,91,Public,545,"511,468","261,606","273,846",51.10%,53.50%
2012,Washington,91,Total,2855,"2,776,978","512,855","540,948",18.50%,19.50%
2013,Washington,91,Priv. Construction,164,"164,648","41,029","45,118",24.90%,27.40%
2013,Washington,91,Priv. Manufacturing,331,"323,037","78,039","78,892",24.20%,24.40%
2013,Washington,91,Private,2474,"2,422,227","283,641","299,315",11.70%,12.40%
2013,Washington,91,Public,487,"458,708","261,345","268,006",57.00%,58.40%
2013,Washington,91,Total,2961,"2,880,935","544,986","567,321",18.90%,19.70%
2014,Washington,91,Priv. Construction,154,"156,278","43,124","45,299",27.60%,29.00%
2014,Washington,91,Priv. Manufacturing,346,"349,537","67,114","71,062",19.20%,20.30%
2014,Washington,91,Private,2475,"2,457,242","268,723","291,023",10.90%,11.80%
2014,Washington,91,Public,476,"456,036","221,389","244,385",48.50%,53.60%
2014,Washington,91,Total,2951,"2,913,278","490,112","535,408",16.80%,18.40%
2015,Washington,91,Priv. Construction,159,"167,866","36,307","38,179",21.60%,22.70%
2015,Washington,91,Priv. Manufacturing,333,"349,523","81,296","82,156",23.30%,23.50%
2015,Washington,91,Private,2372,"2,491,406","273,830","294,487",11.00%,11.80%
2015,Washington,91,Public,483,"490,033","225,949","241,398",46.10%,49.30%
2015,Washington,91,Total,2855,"2,981,439","499,779","535,886",16.80%,18.00%
2016,Washington,91,Priv. Construction,148,"158,039","28,860","30,001",18.30%,19.00%
2016,Washington,91,Priv. Manufacturing,320,"342,148","74,063","78,073",21.60%,22.80%
2016,Washington,91,Private,2382,"2,572,558","258,515","280,860",10.00%,10.90%
2016,Washington,91,Public,499,"517,869","279,836","295,502",54.00%,57.10%
2016,Washington,91,Total,2881,"3,090,427","538,352","576,362",17.40%,18.60%
2017,Washington,91,Priv. Construction,167,"175,764","35,816","42,065",20.40%,23.90%
2017,Washington,91,Priv. Manufacturing,315,"332,691","77,225","80,082",23.20%,24.10%
2017,Washington,91,Private,2457,"2,601,116","315,411","337,316",12.10%,13.00%
2017,Washington,91,Public,492,"508,714","267,338","291,536",52.60%,57.30%
2017,Washington,91,Total,2949,"3,109,830","582,749","628,851",18.70%,20.20%
2018,Washington,91,Priv. Construction,179,"192,218","48,063","49,060",25.00%,25.50%
2018,Washington,91,Priv. Manufacturing,352,"384,410","100,868","102,798",26.20%,26.70%
2018,Washington,91,Private,2472,"2,692,851","346,489","360,720",12.90%,13.40%
2018,Washington,91,Public,543,"580,757","301,651","309,194",51.90%,53.20%
2018,Washington,91,Total,3015,"3,273,608","648,139","669,914",19.80%,20.50%
2019,Washington,91,Priv. Construction,186,"207,536","51,959","57,146",25.00%,27.50%
2019,Washington,91,Priv. Manufacturing,374,"411,369","85,671","91,149",20.80%,22.20%
2019,Washington,91,Private,2536,"2,822,267","339,408","368,493",12.00%,13.10%
2019,Washington,91,Public,518,"570,588","298,470","315,709",52.30%,55.30%
2019,Washington,91,Total,3054,"3,392,855","637,878","684,202",18.80%,20.20%
2020,Washington,91,Priv. Construction,160,"195,050","45,063","45,063",23.10%,23.10%
2020,Washington,91,Priv. Manufacturing,300,"341,982","76,047","76,997",22.20%,22.50%
2020,Washington,91,Private,2221,"2,639,528","271,117","287,237",10.30%,10.90%
2020,Washington,91,Public,479,"565,169","286,012","309,186",50.60%,54.70%
2020,Washington,91,Total,2700,"3,204,697","557,128","596,423",17.40%,18.60%
2021,Washington,91,Priv. Construction,160,"207,565","34,336","38,103",16.50%,18.40%
2021,Washington,91,Priv. Manufacturing,251,"309,663","51,460","51,460",16.60%,16.60%
2021,Washington,91,Private,2126,"2,668,426","291,945","310,516",10.90%,11.60%
2021,Washington,91,Public,516,"637,384","335,697","348,845",52.70%,54.70%
2021,Washington,91,Total,2642,"3,305,809","627,642","659,361",19.00%,19.90%
2022,Washington,91,Priv. Construction,162,"221,390","42,781","48,996",19.30%,22.10%
2022,Washington,91,Priv. Manufacturing,271,"367,000","66,631","66,631",18.20%,18.20%
2022,Washington,91,Private,2018,"2,766,507","296,698","314,730",10.70%,11.40%
2022,Washington,91,Public,472,"644,826","316,794","336,443",49.10%,52.20%
2022,Washington,91,Total,2490,"3,411,334","613,492","651,173",18.00%,19.10%
1983,West Virginia,55,Priv. Construction,74,"24,047","8,543","9,142",35.50%,38.00%
1983,West Virginia,55,Priv. Manufacturing,301,"99,876","41,260","45,465",41.30%,45.50%
1983,West Virginia,55,Private,1387,"452,305","118,152","126,660",26.10%,28.00%
1983,West Virginia,55,Public,342,"111,648","24,551","33,984",22.00%,30.40%
1983,West Virginia,55,Total,1729,"563,953","142,703","160,644",25.30%,28.50%
1984,West Virginia,55,Priv. Construction,66,"20,801","7,496","7,676",36.00%,36.90%
1984,West Virginia,55,Priv. Manufacturing,278,"95,587","39,877","41,209",41.70%,43.10%
1984,West Virginia,55,Private,1372,"459,579","109,692","116,615",23.90%,25.40%
1984,West Virginia,55,Public,371,"124,113","29,969","40,215",24.10%,32.40%
1984,West Virginia,55,Total,1743,"583,692","139,661","156,830",23.90%,26.90%
1985,West Virginia,55,Priv. Construction,75,"25,505","8,088","8,374",31.70%,32.80%
1985,West Virginia,55,Priv. Manufacturing,279,"95,132","38,367","40,178",40.30%,42.20%
1985,West Virginia,55,Private,1353,"463,815","102,936","106,222",22.20%,22.90%
1985,West Virginia,55,Public,386,"129,383","31,733","42,104",24.50%,32.50%
1985,West Virginia,55,Total,1739,"593,198","134,669","148,326",22.70%,25.00%
1986,West Virginia,55,Priv. Construction,88,"31,018","9,571","9,571",30.90%,30.90%
1986,West Virginia,55,Priv. Manufacturing,267,"91,351","39,852","42,375",43.60%,46.40%
1986,West Virginia,55,Private,1367,"469,696","97,846","101,814",20.80%,21.70%
1986,West Virginia,55,Public,354,"120,657","23,307","34,027",19.30%,28.20%
1986,West Virginia,55,Total,1721,"590,354","121,154","135,841",20.50%,23.00%
1987,West Virginia,55,Priv. Construction,88,"30,410","9,234","9,887",30.40%,32.50%
1987,West Virginia,55,Priv. Manufacturing,310,"105,078","42,355","43,397",40.30%,41.30%
1987,West Virginia,55,Private,1403,"474,112","99,808","105,441",21.10%,22.20%
1987,West Virginia,55,Public,386,"130,793","31,101","42,912",23.80%,32.80%
1987,West Virginia,55,Total,1789,"604,905","130,908","148,353",21.60%,24.50%
1988,West Virginia,55,Priv. Construction,85,"29,084","5,371","5,371",18.50%,18.50%
1988,West Virginia,55,Priv. Manufacturing,308,"103,222","40,477","42,793",39.20%,41.50%
1988,West Virginia,55,Private,1384,"468,068","94,885","99,307",20.30%,21.20%
1988,West Virginia,55,Public,383,"128,931","25,758","37,569",20.00%,29.10%
1988,West Virginia,55,Total,1767,"596,999","120,643","136,876",20.20%,22.90%
1989,West Virginia,55,Priv. Construction,105,"36,790","4,703","4,703",12.80%,12.80%
1989,West Virginia,55,Priv. Manufacturing,343,"114,729","45,209","45,945",39.40%,40.00%
1989,West Virginia,55,Private,1547,"523,738","96,589","100,111",18.40%,19.10%
1989,West Virginia,55,Public,342,"114,622","28,167","35,388",24.60%,30.90%
1989,West Virginia,55,Total,1889,"638,359","124,756","135,500",19.50%,21.20%
1990,West Virginia,55,Priv. Construction,108,"36,804","10,207","10,908",27.70%,29.60%
1990,West Virginia,55,Priv. Manufacturing,297,"97,219","39,498","41,742",40.60%,42.90%
1990,West Virginia,55,Private,1545,"508,282","94,278","101,033",18.50%,19.90%
1990,West Virginia,55,Public,347,"113,213","25,316","34,515",22.40%,30.50%
1990,West Virginia,55,Total,1892,"621,494","119,594","135,548",19.20%,21.80%
1991,West Virginia,55,Priv. Construction,92,"31,832","7,150","7,546",22.50%,23.70%
1991,West Virginia,55,Priv. Manufacturing,286,"95,018","37,673","39,450",39.60%,41.50%
1991,West Virginia,55,Private,1540,"518,878","94,450","100,397",18.20%,19.30%
1991,West Virginia,55,Public,362,"119,026","28,444","34,718",23.90%,29.20%
1991,West Virginia,55,Total,1902,"637,904","122,894","135,115",19.30%,21.20%
1992,West Virginia,55,Priv. Construction,85,"29,666","9,306","9,306",31.40%,31.40%
1992,West Virginia,55,Priv. Manufacturing,290,"100,981","41,694","43,857",41.30%,43.40%
1992,West Virginia,55,Private,1424,"498,309","82,727","88,414",16.60%,17.70%
1992,West Virginia,55,Public,357,"121,749","30,765","38,045",25.30%,31.20%
1992,West Virginia,55,Total,1781,"620,058","113,492","126,459",18.30%,20.40%
1993,West Virginia,55,Priv. Construction,64,"23,654","6,673","6,673",28.20%,28.20%
1993,West Virginia,55,Priv. Manufacturing,291,"105,827","41,971","43,688",39.70%,41.30%
1993,West Virginia,55,Private,1410,"511,561","80,872","86,067",15.80%,16.80%
1993,West Virginia,55,Public,365,"132,777","32,022","42,288",24.10%,31.80%
1993,West Virginia,55,Total,1775,"644,338","112,894","128,354",17.50%,19.90%
1994,West Virginia,55,Priv. Construction,78,"27,777","6,490","6,490",23.40%,23.40%
1994,West Virginia,55,Priv. Manufacturing,260,"92,822","32,754","34,145",35.30%,36.80%
1994,West Virginia,55,Private,1424,"513,847","81,645","85,211",15.90%,16.60%
1994,West Virginia,55,Public,362,"128,365","31,472","34,911",24.50%,27.20%
1994,West Virginia,55,Total,1786,"642,213","113,116","120,123",17.60%,18.70%
1995,West Virginia,55,Priv. Construction,97,"36,066","8,166","9,883",22.60%,27.40%
1995,West Virginia,55,Priv. Manufacturing,245,"88,329","26,941","27,297",30.50%,30.90%
1995,West Virginia,55,Private,1406,"512,940","76,091","80,243",14.80%,15.60%
1995,West Virginia,55,Public,367,"128,145","28,404","33,888",22.20%,26.40%
1995,West Virginia,55,Total,1773,"641,086","104,495","114,131",16.30%,17.80%
1996,West Virginia,55,Priv. Construction,103,"37,186","11,092","11,092",29.80%,29.80%
1996,West Virginia,55,Priv. Manufacturing,244,"86,064","25,122","26,150",29.20%,30.40%
1996,West Virginia,55,Private,1597,"564,494","78,474","84,497",13.90%,15.00%
1996,West Virginia,55,Public,377,"132,682","31,217","40,170",23.50%,30.30%
1996,West Virginia,55,Total,1974,"697,176","109,691","124,667",15.70%,17.90%
1997,West Virginia,55,Priv. Construction,99,"36,557","8,819","8,819",24.10%,24.10%
1997,West Virginia,55,Priv. Manufacturing,222,"78,955","19,387","19,387",24.60%,24.60%
1997,West Virginia,55,Private,1517,"545,865","67,883","69,715",12.40%,12.80%
1997,West Virginia,55,Public,373,"132,415","37,758","42,677",28.50%,32.20%
1997,West Virginia,55,Total,1890,"678,280","105,641","112,392",15.60%,16.60%
1998,West Virginia,55,Priv. Construction,74,"28,600","6,645","6,645",23.20%,23.20%
1998,West Virginia,55,Priv. Manufacturing,221,"84,321","21,740","21,740",25.80%,25.80%
1998,West Virginia,55,Private,1390,"528,023","58,536","60,421",11.10%,11.40%
1998,West Virginia,55,Public,364,"135,215","24,741","31,211",18.30%,23.10%
1998,West Virginia,55,Total,1754,"663,238","83,277","91,632",12.60%,13.80%
1999,West Virginia,55,Priv. Construction,98,"37,175","11,853","11,853",31.90%,31.90%
1999,West Virginia,55,Priv. Manufacturing,234,"87,660","25,329","25,742",28.90%,29.40%
1999,West Virginia,55,Private,1547,"580,564","71,996","72,775",12.40%,12.50%
1999,West Virginia,55,Public,340,"121,542","34,539","40,572",28.40%,33.40%
1999,West Virginia,55,Total,1887,"702,106","106,535","113,346",15.20%,16.10%
2000,West Virginia,55,Priv. Construction,90,"33,271","5,823","6,181",17.50%,18.60%
2000,West Virginia,55,Priv. Manufacturing,254,"95,601","33,283","33,663",34.80%,35.20%
2000,West Virginia,55,Private,1572,"586,826","72,493","76,409",12.40%,13.00%
2000,West Virginia,55,Public,365,"130,946","30,365","34,950",23.20%,26.70%
2000,West Virginia,55,Total,1937,"717,772","102,857","111,359",14.30%,15.50%
2001,West Virginia,55,Priv. Construction,117,"37,062","8,653","8,653",23.30%,23.30%
2001,West Virginia,55,Priv. Manufacturing,275,"90,682","27,055","27,988",29.80%,30.90%
2001,West Virginia,55,Private,1810,"598,898","73,166","77,689",12.20%,13.00%
2001,West Virginia,55,Public,398,"129,143","33,174","38,161",25.70%,29.50%
2001,West Virginia,55,Total,2208,"728,042","106,340","115,849",14.60%,15.90%
2002,West Virginia,55,Priv. Construction,130,"38,442","8,119","8,445",21.10%,22.00%
2002,West Virginia,55,Priv. Manufacturing,266,"81,535","17,992","18,331",22.10%,22.50%
2002,West Virginia,55,Private,1914,"576,176","60,391","61,260",10.50%,10.60%
2002,West Virginia,55,Public,435,"128,653","32,904","37,147",25.60%,28.90%
2002,West Virginia,55,Total,2349,"704,829","93,294","98,407",13.20%,14.00%
2003,West Virginia,55,Priv. Construction,120,"37,043","9,635","9,902",26.00%,26.70%
2003,West Virginia,55,Priv. Manufacturing,227,"69,305","19,242","19,242",27.80%,27.80%
2003,West Virginia,55,Private,1819,"540,087","55,750","57,927",10.30%,10.70%
2003,West Virginia,55,Public,454,"130,825","32,021","37,326",24.50%,28.50%
2003,West Virginia,55,Total,2273,"670,912","87,771","95,252",13.10%,14.20%
2004,West Virginia,55,Priv. Construction,133,"43,148","10,271","10,811",23.80%,25.10%
2004,West Virginia,55,Priv. Manufacturing,221,"74,925","15,779","16,796",21.10%,22.40%
2004,West Virginia,55,Private,1758,"564,390","59,535","64,059",10.50%,11.40%
2004,West Virginia,55,Public,433,"135,748","39,886","45,578",29.40%,33.60%
2004,West Virginia,55,Total,2191,"700,138","99,421","109,638",14.20%,15.70%
2005,West Virginia,55,Priv. Construction,114,"41,898","10,086","11,116",24.10%,26.50%
2005,West Virginia,55,Priv. Manufacturing,172,"61,149","13,051","13,051",21.30%,21.30%
2005,West Virginia,55,Private,1507,"541,578","57,616","61,727",10.60%,11.40%
2005,West Virginia,55,Public,426,"146,368","41,436","44,959",28.30%,30.70%
2005,West Virginia,55,Total,1933,"687,946","99,052","106,686",14.40%,15.50%
2006,West Virginia,55,Priv. Construction,119,"45,976","7,271","7,577",15.80%,16.50%
2006,West Virginia,55,Priv. Manufacturing,179,"68,314","14,538","16,176",21.30%,23.70%
2006,West Virginia,55,Private,1502,"570,029","58,537","64,439",10.30%,11.30%
2006,West Virginia,55,Public,381,"140,400","42,149","45,679",30.00%,32.50%
2006,West Virginia,55,Total,1883,"710,429","100,686","110,118",14.20%,15.50%
2007,West Virginia,55,Priv. Construction,118,"45,196","11,430","11,430",25.30%,25.30%
2007,West Virginia,55,Priv. Manufacturing,155,"57,837","13,757","13,757",23.80%,23.80%
2007,West Virginia,55,Private,1518,"569,257","61,764","65,446",10.80%,11.50%
2007,West Virginia,55,Public,423,"155,108","34,858","41,385",22.50%,26.70%
2007,West Virginia,55,Total,1941,"724,365","96,622","106,831",13.30%,14.70%
2008,West Virginia,55,Priv. Construction,112,"42,880","13,133","13,133",30.60%,30.60%
2008,West Virginia,55,Priv. Manufacturing,150,"58,341","10,440","12,609",17.90%,21.60%
2008,West Virginia,55,Private,1502,"583,479","62,568","68,868",10.70%,11.80%
2008,West Virginia,55,Public,407,"152,852","38,743","43,620",25.30%,28.50%
2008,West Virginia,55,Total,1909,"736,331","101,311","112,488",13.80%,15.30%
2009,West Virginia,55,Priv. Construction,87,"34,507","9,310","9,310",27.00%,27.00%
2009,West Virginia,55,Priv. Manufacturing,120,"48,653","10,039","10,446",20.60%,21.50%
2009,West Virginia,55,Private,1351,"547,853","56,308","59,342",10.30%,10.80%
2009,West Virginia,55,Public,385,"151,042","41,030","48,545",27.20%,32.10%
2009,West Virginia,55,Total,1736,"698,896","97,337","107,887",13.90%,15.40%
2010,West Virginia,55,Priv. Construction,88,"35,381","10,383","10,802",29.30%,30.50%
2010,West Virginia,55,Priv. Manufacturing,121,"51,790","13,438","14,595",25.90%,28.20%
2010,West Virginia,55,Private,1238,"516,067","57,918","65,221",11.20%,12.60%
2010,West Virginia,55,Public,402,"160,470","41,944","46,146",26.10%,28.80%
2010,West Virginia,55,Total,1640,"676,538","99,862","111,367",14.80%,16.50%
2011,West Virginia,55,Priv. Construction,83,"35,125","5,943","6,446",16.90%,18.40%
2011,West Virginia,55,Priv. Manufacturing,106,"45,143","11,138","11,138",24.70%,24.70%
2011,West Virginia,55,Private,1189,"510,590","49,436","53,760",9.70%,10.50%
2011,West Virginia,55,Public,393,"161,252","43,450","48,669",26.90%,30.20%
2011,West Virginia,55,Total,1582,"671,842","92,886","102,430",13.80%,15.20%
2012,West Virginia,55,Priv. Construction,77,"32,636","7,278","7,278",22.30%,22.30%
2012,West Virginia,55,Priv. Manufacturing,125,"53,863","10,248","10,640",19.00%,19.80%
2012,West Virginia,55,Private,1259,"543,892","45,685","50,467",8.40%,9.30%
2012,West Virginia,55,Public,366,"153,488","38,247","40,743",24.90%,26.50%
2012,West Virginia,55,Total,1625,"697,380","83,931","91,211",12.00%,13.10%
2013,West Virginia,55,Priv. Construction,81,"37,204","7,470","7,470",20.10%,20.10%
2013,West Virginia,55,Priv. Manufacturing,123,"55,577","11,141","11,141",20.00%,20.00%
2013,West Virginia,55,Private,1224,"545,084","53,364","56,714",9.80%,10.40%
2013,West Virginia,55,Public,326,"140,498","33,946","36,504",24.20%,26.00%
2013,West Virginia,55,Total,1550,"685,582","87,309","93,218",12.70%,13.60%
2014,West Virginia,55,Priv. Construction,106,"36,262","10,426","10,426",28.80%,28.80%
2014,West Virginia,55,Priv. Manufacturing,168,"50,339","11,141","11,141",22.10%,22.10%
